申请机构,机构类别,项目名称,涉及范畴
香港生成式人工智能研发中心,研发机构,香港音声基座大模型,大语言模型
"香港城市大学
香港人工智能与科学研究院",本地院校,新一代蛋白质基座赋能蛋白质定向设计,合成生物学
"香港城市大学
香港人工智能与科学研究院",本地院校,Moma，多源异构材料分子预训练模型,新材料
香港理工大学,本地院校,增强边缘基础模型以实现高级推理,大语言模型
机电工程署,政府决策局及部门,环境风险评估人工智能代理及大模型政府合同人工智能代理,人工智能代理
香港电讯有限公司,企业,AI数据通道：开启创新与转型之道,小语言、大语言模型
香港理工大学,本地院校,基于多模态大语言模型的肝细胞癌精准治疗,医学大模型
"香港大学
计算与数据科学学院",本地院校,开发可靠且可解释的多模态医疗推理大语言模型,医学大模型
"香港大学
计算与数据科学学院",本地院校,推进视觉-语言-动作模型以实现通用机器人,具身人工智能
"香港理工大学
工业及系统工程学系",本地院校,多模态大语言模型在互联网行销与消费者行为研究中的融合研究,大语言模型应用
"香港大学
电机电子工程系",本地院校,3D 场景实时渲染生成,生成式人工智能
"中国科学院香港创新研究院
人工智能与机器人创新中心",研发机构,用于医学诊断和手术的多模态大语言模型研发,医学大模型
"香港中文大学
资讯科技服务处",本地院校,"申请包括两个项目：
(a)	利用多模态大型语言模型进行多粒度胸部X光分析以获得全面的解剖学和临床洞察
(b)	透过AI驱动的环境监测与预测推进地球系统科学发展","两个项目分别涉及：
(a)	医学大模型
(b)	环境大模型"
香港理工大学,本地院校,基于多模态大语言模型的协作式癌症基础建模平台,大语言模型应用
Pureverse 集团有限公司,初创企业,Pureverse AI 心理健康平台,大语言模型应用
