Centre,Space, Occupancy Rate,Area (sq. ft.)
Cyberport,Smart-Space 1,95.50%,9333
Cyberport,Smart-Space 2,99.10%,10452
Cyberport,Smart-Space 3C+,96.20%,13035
Cyberport,Smart-Space 3C,68.20%,13692
Cyberport,Smart-Space 3F,94.40%,26705
Cyberport,Smart-Space FinTech,75.70%,35543
Cyberport,Smart-Space FinTech 1,80.60%,11797
Cyberport,Smart-Space Smart Living,77.60%,28082
Cyberport,Smart-Space Digital Entertainment,57.70%,7848
Cyberport,Smart-Space FinTech 2,70.10%,13154
Tsuen Wan,Smart-Space 8,76.70%,20100
