Timestamp (GMT+8),Date,Time,Open (USD),High (USD),Low (USD),Close (USD),Volume (CXMT),Notional (USD),Fully Diluted Val (USD),Fully Diluted Val (RMB)
2026-07-27 00:00:00,2026-07-27,00:00,6.3266,6.3771,6.3120,6.3445,18421.1,116872.67,424320160000.00,3076321160000.00
2026-07-27 00:05:00,2026-07-27,00:05,6.3417,6.3695,6.3000,6.3095,23042.4,145386.02,421979360000.00,3059350360000.00
2026-07-27 00:10:00,2026-07-27,00:10,6.3096,6.3157,6.2888,6.2980,11995.9,75550.18,421210240000.00,3053774240000.00
2026-07-27 00:15:00,2026-07-27,00:15,6.2993,6.2998,6.2616,6.2628,24783.0,155210.97,418856064000.00,3036706464000.00
2026-07-27 00:20:00,2026-07-27,00:20,6.2630,6.2802,6.2500,6.2800,26579.1,166916.75,420006400000.00,3045046400000.00
2026-07-27 00:25:00,2026-07-27,00:25,6.2801,6.3172,6.2800,6.2837,24403.3,153343.02,420253856000.00,3046840456000.00
2026-07-27 00:30:00,2026-07-27,00:30,6.2890,6.3455,6.2801,6.3300,29431.9,186303.93,423350400000.00,3069290400000.00
2026-07-27 00:35:00,2026-07-27,00:35,6.3303,6.3419,6.3020,6.3084,13997.8,88303.72,421905792000.00,3058816992000.00
2026-07-27 00:40:00,2026-07-27,00:40,6.3166,6.3200,6.3020,6.3040,3938.5,24828.30,421611520000.00,3056683520000.00
2026-07-27 00:45:00,2026-07-27,00:45,6.3021,6.3145,6.2980,6.2997,10353.7,65225.20,421323936000.00,3054598536000.00
2026-07-27 00:50:00,2026-07-27,00:50,6.3016,6.3246,6.2900,6.3127,24390.8,153971.80,422193376000.00,3060901976000.00
2026-07-27 00:55:00,2026-07-27,00:55,6.3133,6.3182,6.2940,6.2978,5613.3,35351.44,421196864000.00,3053677264000.00
2026-07-27 01:00:00,2026-07-27,01:00,6.3028,6.3558,6.1682,6.3251,202312.5,1279646.79,423022688000.00,3066914488000.00
2026-07-27 01:05:00,2026-07-27,01:05,6.3501,6.4383,6.3256,6.4218,30044.4,192939.13,429489984000.00,3113802384000.00
2026-07-27 01:10:00,2026-07-27,01:10,6.4218,6.4218,6.3690,6.3692,12535.4,79840.47,425972096000.00,3088297696000.00
2026-07-27 01:15:00,2026-07-27,01:15,6.3739,6.4000,6.3439,6.3820,9224.5,58870.76,426828160000.00,3094504160000.00
2026-07-27 01:20:00,2026-07-27,01:20,6.3873,6.3934,6.3408,6.3550,4053.7,25761.26,425022400000.00,3081412400000.00
2026-07-27 01:25:00,2026-07-27,01:25,6.3578,6.3849,6.3421,6.3462,5441.1,34530.31,424433856000.00,3077145456000.00
2026-07-27 01:30:00,2026-07-27,01:30,6.3509,6.3628,6.3224,6.3249,7139.0,45153.46,423009312000.00,3066817512000.00
