Date,Open,High,Low,Close,Volume,Notional (USD),Fully Diluted Val (USD),Fully Diluted Val (RMB)
2026-07-15,6.0,8.64,6.0,7.5579,6081709.9,45964955.25321,505472352000.0,3664674552000.0
2026-07-16,7.5201,7.6595,7.02,7.132,1727043.6,12317274.9552,476988160000.0,3458164160000.0
2026-07-17,7.132,7.2991,6.72,7.02,1920217.1,13479924.042,469497600000.0,3403857600000.0
2026-07-18,7.02,7.2776,6.91,7.1603,570938.8,4088093.0896400004,478880864000.0,3471886264000.0
2026-07-19,7.1602,7.2587,6.62,6.865,750588.2,5152787.993,459131200000.0,3328701200000.0
2026-07-20,6.8584,7.134,6.5367,6.6404,961240.3,6383020.0881199995,444109952000.0,3219797152000.0
2026-07-21,6.6404,6.8587,6.45,6.6671,1410355.9,9402983.820889998,445895648000.0,3232743448000.0
2026-07-22,6.6796,6.8957,6.411,6.434,1439222.8,9259959.4952,430305920000.0,3119717920000.0
2026-07-23,6.4339,6.7306,6.31,6.5902,1602270.5999999999,10559283.70812,440752576000.0,3195456176000.0
2026-07-24,6.5755,6.6132,6.2928,6.2942,1824717.3,11485135.629660001,420956096000.0,3051931696000.0
2026-07-25,6.3009,6.5,6.0,6.3879,3148784.7,20114121.78513,427222752000.0,3097364952000.0
2026-07-26,6.3882,6.63,5.9868,6.3203,3068734.8000000003,19395324.55644,422701664000.0,3064587064000.0
2026-07-27,6.3266,7.75,5.964,6.9512,31165414.5,216637029.2724,464896256000.0,3370497856000.0
