Time (SGT),Open,High,Low,Close,Volume
2026-08-05 22:00:00,70.0,73.68,67.919,68.725,12658.09
2026-08-05 22:30:00,68.525,70.0,68.5,69.274,2982.19
2026-08-05 23:00:00,69.157,69.88,68.6,68.987,1012.66
2026-08-05 23:30:00,68.986,69.56,68.52,68.693,310.45
2026-08-06 00:00:00,69.09,69.19,68.52,68.841,406.53
2026-08-06 00:30:00,69.1,70.8,68.71,70.128,1408.38
2026-08-06 01:00:00,70.15,71.944,69.861,71.453,3113.35
2026-08-06 01:30:00,71.316,72.0,71.083,71.44,1270.75
2026-08-06 02:00:00,71.548,72.0,70.887,71.784,1269.34
2026-08-06 02:30:00,71.778,71.778,70.521,71.73,637.41
2026-08-06 03:00:00,71.801,71.84,71.091,71.638,286.09
2026-08-06 03:30:00,71.637,72.0,70.913,71.92,832.57
2026-08-06 04:00:00,71.92,72.0,71.367,71.97,763.77
2026-08-06 04:30:00,71.9,71.9,70.713,70.739,833.51
2026-08-06 05:00:00,70.871,71.97,70.627,71.725,1097.0
2026-08-06 05:30:00,71.725,71.725,70.214,71.72,522.38
2026-08-06 06:00:00,71.72,71.725,71.425,71.725,345.05
2026-08-06 06:30:00,71.725,72.0,71.35,72.0,791.06
2026-08-06 07:00:00,72.0,73.0,71.741,72.682,826.51
2026-08-06 07:30:00,72.869,72.99,71.426,72.545,885.51
2026-08-06 08:00:00,72.519,72.751,71.1,72.32,1337.62
2026-08-06 08:30:00,72.32,72.32,71.1,71.908,854.06
2026-08-06 09:00:00,72.048,72.919,71.49,71.972,708.59
2026-08-06 09:30:00,72.319,72.619,72.024,72.424,592.67
2026-08-06 10:00:00,72.499,72.8,71.1,72.5,641.87
2026-08-06 10:30:00,72.5,72.88,72.173,72.5,720.53
2026-08-06 11:00:00,72.485,72.89,72.21,72.781,745.38
2026-08-06 11:30:00,72.836,72.969,71.48,72.544,1068.81
2026-08-06 12:00:00,72.575,72.96,71.92,72.959,596.3
2026-08-06 12:30:00,72.959,72.98,72.341,72.98,1117.74
2026-08-06 13:00:00,72.98,73.5,72.54,73.4,1541.26
2026-08-06 13:30:00,73.401,73.8,73.066,73.8,649.82
2026-08-06 14:00:00,73.8,74.0,73.013,73.268,814.14
2026-08-06 14:30:00,73.268,73.527,71.983,72.957,808.2
2026-08-06 15:00:00,72.515,73.28,71.7,72.625,1686.27
2026-08-06 15:30:00,72.584,73.4,72.35,72.949,393.74
2026-08-06 16:00:00,72.949,73.3,72.16,72.686,305.93
2026-08-06 16:30:00,72.881,73.29,72.35,72.774,287.33
2026-08-06 17:00:00,72.465,74.0,72.465,72.715,637.84
2026-08-06 17:30:00,72.715,72.715,71.702,71.881,297.32
2026-08-06 18:00:00,71.802,72.421,71.7,72.161,476.71
2026-08-06 18:30:00,72.246,72.418,71.801,72.083,428.33
2026-08-06 19:00:00,72.02,74.931,71.835,74.484,6605.62
2026-08-06 19:30:00,74.429,75.0,73.26,74.405,2513.56
2026-08-06 20:00:00,74.394,75.0,74.325,74.758,2517.69
2026-08-06 20:30:00,74.796,74.936,73.811,74.768,1594.3
2026-08-06 21:00:00,74.719,75.672,74.651,75.017,2205.84
2026-08-06 21:30:00,75.023,76.4,74.91,75.759,3783.93
2026-08-06 22:00:00,75.761,77.8,75.5,76.54,3076.22
2026-08-06 22:30:00,76.303,79.68,76.3,78.252,5745.8
2026-08-06 23:00:00,78.308,84.478,78.253,83.546,21036.34
2026-08-06 23:30:00,83.545,84.0,82.81,83.508,2971.2
2026-08-07 00:00:00,83.266,84.37,81.802,83.447,4026.14
2026-08-07 00:30:00,83.447,83.638,82.0,82.056,1956.87
2026-08-07 01:00:00,82.055,82.576,79.314,80.86,3181.98
2026-08-07 01:30:00,80.611,80.723,78.0,78.0,2975.72
2026-08-07 02:00:00,78.161,83.1,78.0,78.974,2946.54
2026-08-07 02:30:00,78.975,80.435,78.599,79.516,511.14
2026-08-07 03:00:00,79.439,82.754,79.437,82.223,1978.68
2026-08-07 03:30:00,82.195,83.0,81.003,81.748,998.93
2026-08-07 04:00:00,81.741,83.16,80.541,83.16,864.57
2026-08-07 04:30:00,83.001,83.97,82.516,83.544,624.67
2026-08-07 05:00:00,83.474,83.544,81.433,81.819,459.63
2026-08-07 05:30:00,81.65,82.067,80.974,81.247,248.77
2026-08-07 06:00:00,81.413,82.059,80.0,80.72,1886.07
2026-08-07 06:30:00,80.72,81.6,80.0,80.249,1314.44
2026-08-07 07:00:00,80.249,82.429,80.161,81.552,1021.94
2026-08-07 07:30:00,81.552,83.486,81.207,81.436,711.39
2026-08-07 08:00:00,81.207,81.49,80.632,80.816,577.79
2026-08-07 08:30:00,80.816,81.0,80.429,80.434,200.4
2026-08-07 09:00:00,80.422,80.71,80.0,80.494,515.78
2026-08-07 09:30:00,80.261,81.5,80.216,81.215,1341.34
2026-08-07 10:00:00,81.047,81.239,81.039,81.175,817.34
2026-08-07 10:30:00,81.176,84.71,81.175,84.347,4167.89
2026-08-07 11:00:00,84.377,86.8,84.182,84.4,9186.88
2026-08-07 11:30:00,84.241,84.867,83.836,84.206,1346.77
2026-08-07 12:00:00,84.205,84.207,83.7,83.8,753.48
2026-08-07 12:30:00,83.849,84.348,83.697,83.697,1731.3
2026-08-07 13:00:00,83.824,85.0,81.818,84.019,4470.59
2026-08-07 13:30:00,84.019,90.0,83.933,87.327,7754.76
2026-08-07 14:00:00,87.34,88.5,87.197,88.038,2678.47
2026-08-07 14:30:00,88.037,93.993,88.037,91.345,16264.71
2026-08-07 15:00:00,91.607,91.8,89.16,89.897,2455.05
2026-08-07 15:30:00,89.843,91.007,88.518,88.904,3047.41
2026-08-07 16:00:00,88.899,91.0,88.118,89.933,2633.74
2026-08-07 16:30:00,89.952,90.343,89.434,89.524,881.97
2026-08-07 17:00:00,89.5,90.21,88.8,89.344,1208.59
2026-08-07 17:30:00,89.186,90.0,87.8,87.805,1829.01
2026-08-07 18:00:00,87.887,88.048,87.3,87.646,3418.61
2026-08-07 18:30:00,87.671,88.072,87.034,87.4,1943.1
2026-08-07 19:00:00,87.363,88.5,87.0,87.48,1315.32
2026-08-07 19:30:00,87.478,88.1,87.4,87.715,551.79
2026-08-07 20:00:00,87.78,88.1,87.5,87.7,516.81
2026-08-07 20:30:00,87.755,89.865,87.7,88.389,1818.48
2026-08-07 21:00:00,88.389,88.834,87.0,87.281,771.05
2026-08-07 21:30:00,87.327,88.992,86.909,86.909,1485.23
2026-08-07 22:00:00,86.909,87.8,86.3,87.71,1678.03
2026-08-07 22:30:00,87.738,88.1,86.0,86.526,1424.48
2026-08-07 23:00:00,86.622,87.298,85.9,86.287,1050.6
2026-08-07 23:30:00,86.35,86.682,83.636,83.8,6402.88
2026-08-08 00:00:00,83.8,85.0,83.039,84.603,3898.77
2026-08-08 00:30:00,84.603,84.652,81.914,81.914,3395.74
2026-08-08 01:00:00,81.915,84.881,81.4,83.2,2899.2
2026-08-08 01:30:00,83.171,83.5,82.029,82.534,1707.56
2026-08-08 02:00:00,82.484,82.638,81.432,81.727,1213.28
2026-08-08 02:30:00,81.727,81.88,81.01,81.01,1481.03
2026-08-08 03:00:00,81.01,81.952,81.0,81.119,731.83
2026-08-08 03:30:00,81.148,82.132,81.02,81.293,890.7
2026-08-08 04:00:00,81.303,81.607,80.545,80.741,1030.8
2026-08-08 04:30:00,80.739,82.914,80.545,81.474,846.98
2026-08-08 05:00:00,81.474,83.068,80.88,82.12,785.47
2026-08-08 05:30:00,82.155,83.489,81.012,82.0,1386.69
2026-08-08 06:00:00,82.0,82.74,81.771,82.18,717.3
2026-08-08 06:30:00,82.18,82.775,82.105,82.2,501.85
2026-08-08 07:00:00,82.2,82.673,82.111,82.445,536.0
2026-08-08 07:30:00,82.326,83.02,82.1,82.459,591.75
2026-08-08 08:00:00,82.459,82.7,82.427,82.489,320.97
2026-08-08 08:30:00,82.482,82.67,82.427,82.427,537.26
2026-08-08 09:00:00,82.461,82.535,82.427,82.455,274.07
2026-08-08 09:30:00,82.455,82.535,82.427,82.443,488.9
2026-08-08 10:00:00,82.443,82.8,82.443,82.501,508.59
2026-08-08 10:30:00,82.501,82.74,82.1,82.101,1002.53
2026-08-08 11:00:00,82.12,82.239,82.1,82.1,251.6
2026-08-08 11:30:00,82.191,82.46,82.1,82.163,394.38
2026-08-08 12:00:00,82.157,82.481,82.1,82.1,384.53
