Time,Open,High,Low,Close,Volume
2026-08-05 22:05:00,70.0,70.0,68.0,68.0,5.31
2026-08-05 22:10:00,68.3,71.64,68.3,70.72,1207.2
2026-08-05 22:15:00,70.959,73.68,70.434,70.66,6688.62
2026-08-05 22:20:00,70.5,71.08,67.919,69.174,3503.29
2026-08-05 22:25:00,68.68,69.259,68.48,68.725,1253.67
2026-08-05 22:30:00,68.525,70.0,68.5,69.7,1356.46
2026-08-05 22:35:00,69.08,69.52,68.52,69.279,533.26
2026-08-05 22:40:00,69.075,69.559,68.9,69.379,470.57
2026-08-05 22:45:00,69.36,69.44,69.0,69.349,338.28
2026-08-05 22:50:00,69.498,69.5,69.04,69.3,96.06
2026-08-05 22:55:00,69.05,69.275,69.0,69.274,187.56
2026-08-05 23:00:00,69.157,69.274,69.0,69.149,46.32
2026-08-05 23:05:00,69.001,69.27,69.0,69.125,414.01
2026-08-05 23:10:00,69.0,69.125,69.0,69.0,111.6
2026-08-05 23:15:00,69.0,69.88,68.61,69.88,287.82
2026-08-05 23:20:00,68.925,69.36,68.761,68.904,28.6
2026-08-05 23:25:00,68.695,69.698,68.6,68.987,124.31
2026-08-05 23:30:00,68.986,69.183,68.56,68.702,25.96
2026-08-05 23:35:00,68.701,69.56,68.52,69.022,118.94
2026-08-05 23:40:00,69.022,69.13,68.52,68.742,94.93
2026-08-05 23:45:00,68.742,69.005,68.626,68.777,34.68
2026-08-05 23:50:00,69.308,69.478,68.776,68.913,34.88
2026-08-05 23:55:00,69.299,69.299,68.693,68.693,1.06
2026-08-06 00:00:00,69.09,69.09,69.09,69.09,0.99
2026-08-06 00:05:00,69.087,69.1,68.998,69.072,25.02
2026-08-06 00:10:00,69.071,69.19,68.52,69.149,349.97
2026-08-06 00:15:00,69.147,69.19,68.604,68.604,7.56
2026-08-06 00:20:00,68.604,69.006,68.544,69.006,1.24
2026-08-06 00:25:00,69.112,69.112,68.841,68.841,21.75
2026-08-06 00:30:00,69.1,69.268,68.71,69.268,286.57
2026-08-06 00:35:00,69.268,70.0,69.131,69.6,467.46
2026-08-06 00:40:00,69.575,70.0,69.569,70.0,119.11
2026-08-06 00:45:00,70.0,70.8,69.825,70.8,203.41
2026-08-06 00:50:00,70.675,70.675,69.824,70.254,169.6
2026-08-06 00:55:00,70.254,70.254,69.824,70.128,162.23
2026-08-06 01:00:00,70.15,70.3,69.889,70.3,117.98
2026-08-06 01:05:00,70.3,70.3,69.861,69.888,99.72
2026-08-06 01:10:00,69.9,70.24,69.861,70.1,121.68
2026-08-06 01:15:00,70.099,70.966,69.865,70.6,631.42
2026-08-06 01:20:00,70.602,71.944,70.352,71.36,1979.4
2026-08-06 01:25:00,71.507,71.739,70.453,71.453,163.15
2026-08-06 01:30:00,71.316,71.745,71.12,71.421,116.06
2026-08-06 01:35:00,71.54,71.872,71.439,71.761,263.75
2026-08-06 01:40:00,71.76,72.0,71.7,72.0,207.44
2026-08-06 01:45:00,72.0,72.0,71.62,71.62,195.48
2026-08-06 01:50:00,71.779,71.899,71.084,71.084,299.14
2026-08-06 01:55:00,71.474,71.696,71.083,71.44,188.88
2026-08-06 02:00:00,71.548,72.0,71.306,71.838,217.74
2026-08-06 02:05:00,71.835,71.998,71.298,71.709,523.41
2026-08-06 02:10:00,71.642,71.9,71.444,71.645,299.01
2026-08-06 02:15:00,71.645,71.645,70.887,71.56,125.75
2026-08-06 02:20:00,71.559,71.645,71.559,71.645,56.12
2026-08-06 02:25:00,71.645,71.872,71.414,71.784,47.31
2026-08-06 02:30:00,71.778,71.778,70.521,71.25,182.62
2026-08-06 02:35:00,71.249,71.334,71.13,71.255,57.63
2026-08-06 02:40:00,71.252,71.616,70.797,71.257,213.19
2026-08-06 02:45:00,71.378,71.7,70.816,71.7,63.49
