Time,Open,High,Low,Close,Volume,Trades
2026-08-27 00:00:00,8.5,9.6,7.29,8.1301,142346.0,25011
2026-08-28 00:00:00,8.1301,8.185,6.8253,7.0567,251528.2,28410
2026-08-29 00:00:00,7.0567,7.0963,6.5383,6.8194,130809.8,23714
2026-08-30 00:00:00,6.8045,6.8194,6.5501,6.7535,117401.5,27117
2026-08-31 00:00:00,6.7531,6.7669,5.4565,5.789,1141867.8999999999,72134
2026-09-01 00:00:00,5.7892,6.1387,5.5432,6.0272,1354775.7,118340
2026-09-02 00:00:00,6.0272,6.1379,5.8169,5.8961,194994.2,11883
2026-09-03 00:00:00,5.8751,5.93,5.2593,5.4003,206650.5,19495
2026-09-04 00:00:00,5.4144,5.4187,4.8319,4.9374,284709.7,23150
2026-09-05 00:00:00,4.9466,4.9582,4.9,4.9555,11004.9,1620
